,hot_cold_class,pos_neg_class,date,Degrees Celsius,Wind Gust (MPH),Precipitation,Wind Speed,Humidity,Weather,Visibility
3474,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
3475,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
3476,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
3477,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
3478,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
3479,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
3480,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
3481,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
3482,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
3483,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
3484,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
3485,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
3486,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
3487,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
3488,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
3489,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
3490,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
3491,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
3492,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
3493,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
3494,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
3495,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
3914,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
3915,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
3916,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
3917,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
3918,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
3919,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
3920,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
3921,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
3922,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
3923,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
3924,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
3925,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
3926,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
3927,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
3928,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
3929,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
3930,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
3931,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
3932,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
3933,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
3934,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
3935,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
3936,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
3937,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
3938,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
3939,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
3940,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
3941,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
3942,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
3943,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
3944,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
3945,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
3946,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
3947,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
3948,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
3949,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
3950,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
3951,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
4598,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
4599,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
4600,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
4601,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
4602,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
4603,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
4604,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
4605,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
4606,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
4607,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
4608,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
4609,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
4610,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
4611,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
4612,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
4613,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
4614,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
4615,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
4616,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
4617,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
4618,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
4619,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
4620,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
4621,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
4622,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
4623,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
4624,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
4625,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
4626,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
4627,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
4628,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
4629,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
4630,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
4631,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
4632,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
4633,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
4634,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
4635,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
4636,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
4637,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
4638,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
4639,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
4640,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
4641,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
4642,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
4643,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
4644,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
4645,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
4646,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
4647,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
4648,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
4649,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
4650,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
4651,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
4652,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
4653,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
4654,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
4655,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
4656,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
4657,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
4658,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
4659,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
4660,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
4661,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
4662,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
4663,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
4664,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
4665,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
4666,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
4667,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
4668,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
4669,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
4670,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
4671,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
4672,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
4673,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
5016,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
5017,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
5018,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
5019,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
5020,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
5021,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
5022,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
5023,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
5024,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
5025,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
5026,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
5027,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
5028,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
5029,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
5030,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
5031,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
5032,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
5033,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
5034,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
5035,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
5036,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
5037,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
5038,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
5039,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
5040,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
5041,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
5042,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
5043,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
5044,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
5045,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
5046,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
5047,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
5048,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
5049,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
5050,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
5051,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
5052,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
5053,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
7144,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
7145,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
7146,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
7147,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
7148,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
7149,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
7150,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
7151,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
7152,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
7153,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
7154,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
7155,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
7156,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
7157,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
7158,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
7159,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
7160,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
7161,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
7162,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
7163,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
7164,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
7165,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
7166,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
7167,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
7168,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
7169,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
7170,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
7171,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
7172,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
7173,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
7174,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
7175,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
7176,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
7177,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
7178,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
7179,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
7180,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
7181,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
7182,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
7183,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
7184,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
7185,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
7186,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
7187,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
7188,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
7189,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
7190,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
7191,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
7192,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
7193,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
7194,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
7195,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
7196,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
7197,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
7198,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
7199,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
7200,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
7201,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
7202,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
7203,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
7204,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
7205,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
7206,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
7207,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
7208,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
7209,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
7210,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
7211,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
7212,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
7213,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
7214,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
7215,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
7216,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
7217,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
7218,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
7219,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
7258,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
7259,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
7260,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
7261,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
7262,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
7263,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
7264,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
7265,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
7266,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
7267,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
7268,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
7269,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
7270,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
7271,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
7272,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
7273,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
7274,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
7275,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
7276,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
7277,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
7278,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
7279,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
7280,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
7281,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
7282,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
7283,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
7284,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
7285,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
7286,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
7287,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
7288,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
7289,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
7290,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
7291,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
7292,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
7293,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
7294,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
7295,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
7980,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
7981,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
7982,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
7983,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
7984,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
7985,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
7986,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
7987,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
7988,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
7989,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
7990,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
7991,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
7992,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
7993,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
7994,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
7995,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
7996,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
7997,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
7998,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
7999,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
8000,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
8001,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
8002,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
8003,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
8004,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
8005,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
8006,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
8007,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
8008,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
8009,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
8010,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
8011,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
8012,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
8013,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
8014,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
8015,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
8016,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
8017,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
8208,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
8209,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
8210,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
8211,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
8212,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
8213,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
8214,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
8215,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
8216,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
8217,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
8218,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
8219,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
8220,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
8221,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
8222,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
8223,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
8224,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
8225,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
8226,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
8227,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
8228,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
8229,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
8230,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
8231,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
8232,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
8233,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
8234,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
8235,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
8236,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
8237,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
8238,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
8239,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
8240,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
8241,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
8242,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
8243,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
8244,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
8245,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
8626,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
8627,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
8628,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
8629,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
8630,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
8631,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
8632,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
8633,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
8634,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
8635,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
8636,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
8637,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
8638,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
8639,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
8640,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
8641,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
8642,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
8643,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
8644,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
8645,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
8646,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
8647,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
8648,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
8649,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
8650,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
8651,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
8652,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
8653,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
8654,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
8655,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
8656,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
8657,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
8658,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
8659,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
8660,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
8661,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
8662,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
8663,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
9158,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
9159,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
9160,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
9161,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
9162,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
9163,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
9164,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
9165,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
9166,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
9167,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
9168,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
9169,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
9170,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
9171,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
9172,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
9173,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
9174,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
9175,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
9176,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
9177,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
9178,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
9179,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
9180,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
9181,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
9182,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
9183,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
9184,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
9185,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
